Sr No,Building Name,Floor,Venue Name,Class Room/Lab/Seminar Hall,Class Room No/Lab No/Seminar Hall No,Length,D/h,Area (Sqm),"Capacity(eg 120, 50)","Features(eg projector, MIC , wifi, etc)",Pictures URL,"Venue Can be Used for(eg hands-on session, lecture, lab,etc)",Venue Location(eg  AC 101 is in AC first floor near boat club),Department incharge name,Department incharge phone number,Department incharge email,Department assistanrt name 1,Department assistanrt name 2,Campus (North/South)
,,First Floor,Class Room,Class Room,1,4,7.05,28.2,30,Projector,App Mechanics_First Floor_Classroom.jpg,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,1,7.31,4.75,34.72,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Applied Mech,Class Room No 2,Class Room,1,7.42,4.35,32.28,30,,App Mechanics_Classroom2.jpg,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,Class Room No 1,Class Room,1,5.2,6.05,31.46,30,,App Mechanics Classroom1 (1).jpg,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor ,Seminar Hall,Seminar Hall,1,13.43,5.63,75.61,40,Projector,App Mech Ground Floor Seminar Hall.jpg,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,1st Floor,Class Room No 22,Class Room,1,11.57,9.6,111.07,80,Projector,R22.jpg,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
6,,Mechanical Engineering Department  ,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Mechanical Old Bajaj Building,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor,ME-001,UG Class Room,1,,,,90,"Projector,Wifi,Mic",https://drive.google.com/file/d/11r8JUGcdvTO0ylOI_nn1YEYv9b4CKOKq/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor,ME-002,UG Class Room,1,,,,120,"Projector,Wifi,Mic",https://drive.google.com/file/d/1xfCJ7OavNoyQdfRC-VI19CAZpL4tOAEL/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor,ME-003,UG Class Room,1,,,,120,"Projector,Wifi,Mic",https://drive.google.com/file/d/1WSBvMorlthEbWyaCh8JdxRMas7G4kjVu/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor,Conference Room ,Conference Room ,1,,,,15,"TV,Wifi",,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,1st Floor,ME-101,Tutorial Room,1,30,20.8,624,30,"TV,Wifi",https://drive.google.com/file/d/1zkM7jOLKgqLJAzCTxcQH-GfV_CBt2ZKh/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd Floor,ME-201,UG Class Room,1,48,24.8,1190.4,90,"Projector,Wifi,Mic",https://drive.google.com/file/d/1E-q97N6HQpt942F05ddKGT_D6nsHbDe_/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd floor,ME-301,Tutorial Room,1,29.1,21.5,625.65,40,"TV,Wifi",https://drive.google.com/file/d/1orGoTWToL2cNbFSvNjVnGiJBTqj4-x7p/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
7,,Mechanical New Bajaj Building,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,First Floor,ME-108,PG ,1,44.8,24.11,1080.128,36,No Wifi,https://drive.google.com/file/d/1bJecDqhyMaVv0s9jZLgIDUpY1PGb-2qw/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,First Floor,ME-110,PG ,1,25.01,18.8,470.188,18,No Wifi,https://drive.google.com/file/d/1zkM7jOLKgqLJAzCTxcQH-GfV_CBt2ZKh/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Second Floor,ME-201,PG ,1,25.01,18.8,470.188,18,No Wifi,https://drive.google.com/file/d/1V56Qmp1d-mKg5U3SGllOvQp56yiec8hE/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Drawing Hall,Drawing Hall,,1,117,41,4797,180,Projector,https://drive.google.com/file/d/1pcndMBRukVQKbKa81_jG_82Q2cZywHFu/view?usp=sharing,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
8,,Electrical Engg Dept,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,K R Natu Buildig,EE 209,UG Class Room,1,13.56,11,66.17,100,Smart TV,EED Classrooms_ 24 4 2025,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,First Floor Plan,EE 101,UG Class Room (46 Benches),1,10.89,12.81,139.5,120,Projector,EED Classrooms_ 24 4 2025,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,First Floor Plan,EE 102,UG Class Room (25 Brnches),1,10.89,6.25,68.06,50,Projector,EED Classrooms_ 24 4 2025,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,First Floor Plan,EE 103,PG Class Room (25 Benches),1,10.89,6.05,65.88,50,Projector,EED Classrooms_ 24 4 2025,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,First Floor Plan,EE 104,PG Class Room (34 Benches),1,10.89,8.93,97.25,105,Projector,EED Classrooms_ 24 4 2025,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,First Floor Plan,Conference Hall,Conference Hall,1,12.28,8.18,100.45,40,Projector,EED Classrooms_ 24 4 2025,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
9,,Civil Engg Dept ,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd Floor (Town Planning),,Class Room ,1,11.27,6.44,72.58,,"Projector , Podium",,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,Class Room ,1,8.62,6.44,55.51,,Projector,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,1st Floor (Environment Lab),Classroom Environment Lab,Class Room ,1,6.64,4.49,29.81,25,Projector,Env Classroom.jpeg,Lectues,1st floor ( Environment Lab),Aryan,1231231231,arnav.prasad.tech@gmail.com,,,South
,,,,Seminar Hal,1,5.15,6.35,32.7,,projector,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,(Construction Managment),1st Floor (Civil Department),Class Room ,1,6.94,4.1,28.45,20,projector,CM Classroom.jpeg,Lectures,1st Floor Civil Department,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,South
,,Ground Floor,Room No.7,Class Room ,2,8.46,8.56,72.42,60,"projector, wifi",,Lectures,Ground Floor,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,Room No. 8,,,,,,60,"Projector, wifi",R8.jpeg,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,, (Transportation  & Geotech),1st floor (Geotech classroom),Classroom,1,9.29,8.56,79.52,25,projector,Geotech Classroom.jpeg,Lectures,1st floor (Near Environment Lab),Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,1,5.78,6.83,39.48,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
10,,Production ,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,3D Lab 1st Floor,,Class Room ,1,11.28,6.64,74.9,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,Class Room ,,1,9.69,6.64,64.34,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,2,6.42,8.75,112.35,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,Tutorial Room,1,5.33,6.66,35.5,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor Old,,,1,9.46,3.67,34.72,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Basment,,Seminar Hall,2,12.08,12.8,309.25,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Basment,Seminar Hall,Class Room ,1,12.16,6.65,80.86,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Basment,Class Room ,Tutorial Room,1,6.51,4.95,32.22,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,Tutorial Room,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
11,,Meta Basment,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,,,,,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,Ground Floor,,Class Room,1,7.24,9.67,70.01,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,First Floor,,Class Room,1,7.24,9.67,70.01,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,2nd Floor,,Class Room,1,12.47,7.75,96.64,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,,,,1,6.8,7.75,52.7,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
,,3rd Floor,,PG Class Room,1,7.24,9.67,70.01,,,,,,Aryan,1231231231,arnav.prasad.tech@gmail.com,,,
